scenario,boat_id,time,lat,lon,speed,heading,ax,ay,az,gx,gy,gz
straight,ST00,0,9.5925446,76.5215504,3.81,38.66,0.0016,0.0,9.7556,0.01072,-0.00727,0.0
straight,ST00,1,9.5925713,76.5215721,3.81,38.66,0.0052,0.0,9.8848,-0.01656,-0.04056,0.0
straight,ST00,2,9.5925982,76.5215939,3.82,38.66,0.0117,0.0,9.7923,-0.03833,-0.00628,0.0
straight,ST00,3,9.5926249,76.5216156,3.81,38.66,-0.0171,0.0,9.8013,-0.01406,0.04287,0.0
straight,ST00,4,9.5926516,76.5216373,3.81,38.66,0.0057,0.0,9.8559,-0.00996,-0.00814,0.0
straight,ST00,5,9.5926784,76.521659,3.82,38.66,0.0028,0.0,9.7428,-0.00271,0.03516,0.0
straight,ST00,6,9.5927053,76.5216808,3.83,38.66,0.0155,0.0,9.7606,-0.0065,-0.0489,0.0
straight,ST00,7,9.5927322,76.5217026,3.83,38.66,0.0029,0.0,9.8546,0.02684,-0.01415,0.0
straight,ST00,8,9.592759,76.5217244,3.83,38.66,-0.004,0.0,9.7693,-0.02205,0.00203,0.0
straight,ST00,9,9.5927859,76.5217462,3.83,38.66,-0.0046,0.0,9.8542,-0.00652,-0.02216,0.0
straight,ST00,10,9.5928127,76.521768,3.83,38.66,0.0023,0.0,9.8532,0.00151,0.02506,0.0
straight,ST00,11,9.5928396,76.5217897,3.83,38.66,-0.0022,0.0,9.7185,-0.01366,-0.01524,0.0
straight,ST00,12,9.5928665,76.5218116,3.84,38.66,0.0122,0.0,9.8024,0.03204,-0.02837,0.0
straight,ST00,13,9.5928933,76.5218334,3.83,38.66,-0.0094,0.0,9.878,-0.00571,0.02479,0.0
straight,ST00,14,9.5929202,76.5218551,3.83,38.66,-0.0016,0.0,9.7722,0.01786,-0.00727,0.0
straight,ST00,15,9.592947,76.5218769,3.83,38.66,0.0,0.0,9.7427,0.00582,0.01284,0.0
straight,ST00,16,9.5929739,76.5218987,3.83,38.66,0.0005,0.0,9.7572,0.00063,0.02442,0.0
straight,ST00,17,9.5930007,76.5219205,3.83,38.66,0.002,0.0,9.8035,-0.03034,-0.02771,0.0
straight,ST00,18,9.5930276,76.5219423,3.83,38.66,0.0024,0.0,9.7135,-0.00744,0.01658,0.0
straight,ST00,19,9.5930546,76.5219642,3.85,38.66,0.0182,0.0,9.7247,-0.01746,0.03715,0.0
straight,ST00,20,9.5930816,76.5219861,3.84,38.66,-0.0107,0.0,9.6335,0.007,0.02511,0.0
straight,ST00,21,9.5931084,76.5220079,3.83,38.66,-0.0104,0.0,9.7785,-0.02287,0.01672,0.0
straight,ST00,22,9.5931352,76.5220296,3.82,38.66,-0.0076,0.0,9.8832,-0.00183,0.00136,0.0
straight,ST00,23,9.593162,76.5220513,3.81,38.66,-0.0071,0.0,9.7783,-0.04613,0.02581,0.0
straight,ST00,24,9.5931887,76.522073,3.81,38.66,-0.0027,0.0,9.7661,-0.03043,0.0203,0.0
straight,ST00,25,9.5932155,76.5220947,3.82,38.66,0.005,0.0,9.7761,0.01974,-0.0078,0.0
straight,ST00,26,9.5932423,76.5221165,3.82,38.66,0.0032,0.0,9.9129,0.0307,-0.00055,0.0
straight,ST00,27,9.5932691,76.5221383,3.83,38.66,0.0051,0.0,9.8789,0.02682,-0.00157,0.0
straight,ST00,28,9.5932958,76.5221599,3.8,38.66,-0.0265,0.0,9.7567,-0.01676,-0.00774,0.0
straight,ST00,29,9.5933224,76.5221814,3.79,38.66,-0.0076,0.0,9.7644,0.02783,-0.01178,0.0
straight,ST00,30,9.593349,76.522203,3.79,38.66,0.0036,0.0,9.864,-0.01452,-0.00151,0.0
straight,ST00,31,9.5933755,76.5222245,3.77,38.66,-0.0199,0.0,9.7688,-0.01104,0.00096,0.0
straight,ST00,32,9.5934019,76.522246,3.77,38.66,-0.0015,0.0,9.7784,0.0023,-0.01395,0.0
straight,ST00,33,9.5934285,76.5222675,3.78,38.66,0.0083,0.0,9.895,-0.01998,-0.01134,0.0
straight,ST00,34,9.593455,76.522289,3.78,38.66,0.0003,0.0,9.966,0.02862,-0.01796,0.0
straight,ST00,35,9.5934815,76.5223106,3.78,38.66,0.0018,0.0,9.7815,-0.00416,0.00267,0.0
straight,ST00,36,9.5935081,76.5223321,3.79,38.66,0.0036,0.0,9.7776,-0.00108,0.03261,0.0
straight,ST00,37,9.5935346,76.5223536,3.77,38.66,-0.0146,0.0,9.8134,-0.01338,0.00285,0.0
straight,ST00,38,9.593561,76.5223751,3.78,38.66,0.0029,0.0,9.9166,0.01518,0.00938,0.0
straight,ST00,39,9.5935875,76.5223966,3.77,38.66,-0.0031,0.0,9.7878,0.00944,0.03069,0.0
straight,ST00,40,9.593614,76.522418,3.77,38.66,0.0019,0.0,9.8678,-0.01161,-0.02505,0.0
straight,ST00,41,9.5936405,76.5224395,3.77,38.66,0.0008,0.0,9.7426,-0.0132,0.03747,0.0
straight,ST00,42,9.593667,76.522461,3.78,38.66,0.0018,0.0,9.764,0.02284,0.01695,0.0
straight,ST00,43,9.5936935,76.5224825,3.78,38.66,0.0046,0.0,9.8454,0.01037,0.01778,0.0
straight,ST00,44,9.5937199,76.522504,3.77,38.66,-0.0107,0.0,9.8289,-0.01977,-0.00454,0.0
straight,ST00,45,9.5937464,76.5225254,3.77,38.66,-0.0022,0.0,9.7524,-0.01433,0.02662,0.0
straight,ST00,46,9.5937728,76.5225469,3.77,38.66,0.0057,0.0,9.7548,-0.02784,-0.00712,0.0
straight,ST00,47,9.5937994,76.5225685,3.78,38.66,0.0106,0.0,9.8096,-0.00754,-0.01699,0.0
straight,ST00,48,9.593826,76.52259,3.79,38.66,0.0017,0.0,9.8121,-0.00584,0.00463,0.0
straight,ST00,49,9.5938525,76.5226116,3.79,38.66,0.004,0.0,9.8387,-0.0053,-0.00927,0.0
straight,ST00,50,9.5938791,76.5226331,3.79,38.66,-0.0006,0.0,9.7727,0.05013,0.01125,0.0
straight,ST00,51,9.5939057,76.5226547,3.79,38.66,-0.0014,0.0,9.8085,-0.02201,-0.0185,0.0
straight,ST00,52,9.5939322,76.5226762,3.78,38.66,-0.0035,0.0,9.8451,0.01782,-0.01408,0.0
straight,ST00,53,9.5939589,76.5226978,3.79,38.66,0.0097,0.0,9.7039,-0.00868,-0.01217,0.0
straight,ST00,54,9.5939854,76.5227194,3.79,38.66,-0.0081,0.0,9.7896,-0.0186,-0.041,0.0
straight,ST00,55,9.594012,76.5227409,3.78,38.66,-0.0016,0.0,9.8083,-0.0007,0.02177,0.0
straight,ST00,56,9.5940386,76.5227625,3.8,38.66,0.0137,0.0,9.8634,-0.02499,0.04163,0.0
straight,ST00,57,9.5940652,76.5227841,3.79,38.66,-0.0131,0.0,9.8224,0.01333,-0.03405,0.0
straight,ST00,58,9.5940916,76.5228055,3.77,38.66,-0.016,0.0,9.716,0.00975,0.01115,0.0
straight,ST00,59,9.594118,76.5228269,3.76,38.66,-0.0098,0.0,9.7142,-0.00099,-0.0098,0.0
straight,ST00,60,9.5941442,76.5228482,3.74,38.66,-0.021,0.0,9.8095,-0.02553,-0.01875,0.0
straight,ST00,61,9.5941703,76.5228694,3.72,38.66,-0.0197,0.0,9.8348,0.02659,0.00022,0.0
straight,ST00,62,9.5941963,76.5228905,3.71,38.66,-0.0123,0.0,9.8535,-0.00456,0.00934,0.0
straight,ST00,63,9.5942223,76.5229116,3.7,38.66,-0.0034,0.0,9.8116,-0.00844,-0.02681,0.0
straight,ST00,64,9.5942482,76.5229326,3.7,38.66,-0.0056,0.0,9.8188,0.01842,0.01354,0.0
straight,ST00,65,9.5942743,76.5229538,3.72,38.66,0.0199,0.0,9.7264,0.00639,0.00756,0.0
straight,ST00,66,9.5943004,76.522975,3.73,38.66,0.0088,0.0,9.8097,-0.02624,-0.00321,0.0
straight,ST00,67,9.5943266,76.5229962,3.73,38.66,0.0035,0.0,9.9295,-0.01492,-0.02506,0.0
straight,ST00,68,9.5943527,76.5230174,3.72,38.66,-0.0052,0.0,9.8542,-0.00337,-4e-05,0.0
