t,distance,closing_speed,future_distance,risk,ttc,prediction_error,alert,in_danger_zone
0.0,158.68,7.28,50.23,0.515,21.8,0,WARNING,0
0.5,151.41,7.28,43.06,0.528,20.8,3.79,WARNING,0
1.0,144.14,7.28,35.99,0.541,19.8,3.8,WARNING,0
1.5,136.88,7.27,29.07,0.555,18.82,3.8,WARNING,0
2.0,129.62,7.26,22.4,0.568,17.85,3.79,WARNING,0
2.5,122.38,7.25,16.16,0.581,16.89,3.79,WARNING,0
3.0,115.16,7.23,11.01,0.594,15.93,3.8,WARNING,0
3.5,107.96,7.21,8.85,0.607,14.98,3.79,DANGER,0
4.0,100.78,7.18,8.54,0.62,14.04,3.8,DANGER,0
4.5,93.64,7.15,48.28,0.632,13.1,3.44,DANGER,0
5.0,86.53,7.12,43.09,0.645,12.16,3.21,DANGER,0
5.5,79.46,7.08,38.76,0.658,11.23,2.48,DANGER,0
6.0,72.43,7.03,34.97,0.671,10.3,2.6,DANGER,0
6.5,65.45,6.98,31.26,0.544,9.37,2.26,WARNING,0
7.0,58.53,6.93,28.0,0.557,8.45,1.83,WARNING,0
7.5,51.66,6.87,24.7,0.57,7.52,1.62,WARNING,0
8.0,44.86,6.8,21.04,0.583,6.6,1.16,WARNING,1
8.5,38.14,6.71,17.84,0.597,5.68,1.18,WARNING,1
9.0,31.51,6.61,14.69,0.611,4.77,1.39,DANGER,1
9.5,25.01,6.46,12.13,0.626,3.87,1.64,DANGER,1
10.0,18.69,6.22,10.48,0.641,3.01,1.79,DANGER,1
10.5,12.74,5.66,12.52,0.652,2.25,2.21,DANGER,1
11.0,7.85,3.75,16.39,0.626,2.09,2.32,DANGER,1
11.5,6.65,0.75,21.5,0.524,8.86,2.51,WARNING,1
12.0,10.35,0.0,27.13,0.39,,2.71,SAFE,0
12.5,15.72,0.0,32.19,0.39,,3.19,SAFE,0
13.0,21.47,0.0,38.32,0.39,,3.36,SAFE,0
13.5,27.3,0.0,43.2,0.39,,3.96,SAFE,0
14.0,33.11,0.0,48.94,0.39,,4.04,SAFE,0
14.5,38.87,0.0,54.45,0.39,,4.39,SAFE,0
15.0,44.56,0.0,60.39,0.39,,4.86,SAFE,0
15.5,50.16,0.0,65.41,0.39,,5.18,SAFE,0
16.0,55.67,0.0,70.61,0.39,,5.53,SAFE,0
16.5,61.07,0.0,75.87,0.39,,5.92,SAFE,0
17.0,66.37,0.0,80.74,0.39,,5.92,SAFE,0
17.5,71.56,0.0,85.66,0.39,,6.16,SAFE,0
18.0,76.64,0.0,90.26,0.39,,7.09,SAFE,0
18.5,81.59,0.0,95.25,0.39,,7.37,SAFE,0
19.0,86.43,0.0,99.61,0.39,,7.92,SAFE,0
19.5,91.15,0.0,103.94,0.39,,8.25,SAFE,0
20.0,95.74,0.0,108.49,0.39,,8.42,SAFE,0
20.5,100.21,0.0,0,0.39,,0,SAFE,0
21.0,104.54,0.0,0,0.39,,0,SAFE,0
21.5,108.74,0.0,0,0.39,,0,SAFE,0
22.0,112.8,0.0,0,0.39,,0,SAFE,0
22.5,116.73,0.0,0,0.39,,0,SAFE,0
23.0,120.52,0.0,0,0.39,,0,SAFE,0
23.5,124.16,0.0,0,0.39,,0,SAFE,0
24.0,127.67,0.0,0,0.39,,0,SAFE,0
24.5,131.02,0.0,0,0.39,,0,SAFE,0
25.0,134.23,0.0,0,0.39,,0,SAFE,0
25.5,137.29,0.0,0,0.39,,0,SAFE,0
26.0,140.2,0.0,0,0.39,,0,SAFE,0
26.5,142.96,0.0,0,0.39,,0,SAFE,0
27.0,145.57,0.0,0,0.39,,0,SAFE,0
27.5,148.01,0.0,0,0.39,,0,SAFE,0
28.0,150.31,0.0,0,0.275,,0,SAFE,0
28.5,152.44,0.0,0,0.272,,0,SAFE,0
29.0,154.42,0.0,0,0.268,,0,SAFE,0
29.5,156.24,0.0,0,0.265,,0,SAFE,0
30.0,157.9,0.0,0,0.262,,0,SAFE,0
30.5,159.39,0.0,0,0.259,,0,SAFE,0
31.0,160.73,0.0,0,0.257,,0,SAFE,0
31.5,161.9,0.0,0,0.211,,0,SAFE,0
32.0,162.91,0.0,0,0.201,,0,SAFE,0
32.5,163.75,0.0,0,0.192,,0,SAFE,0
33.0,164.43,0.0,0,0.183,,0,SAFE,0
33.5,164.94,0.0,0,0.174,,0,SAFE,0
34.0,165.29,0.0,0,0.166,,0,SAFE,0
34.5,165.48,0.0,0,0.158,,0,SAFE,0
35.0,165.5,0.07,0,0.151,2423.29,0,SAFE,0
35.5,165.35,0.15,0,0.159,1071.63,0,SAFE,0
36.0,165.04,0.31,0,0.171,528.91,0,SAFE,0
36.5,164.56,0.48,0,0.183,344.72,0,SAFE,0
37.0,163.92,0.64,0,0.195,255.13,0,SAFE,0
37.5,163.11,0.81,0,0.208,202.05,0,SAFE,0
38.0,162.14,0.97,0,0.221,166.87,0,SAFE,0
38.5,161.01,1.14,0,0.234,141.79,0,SAFE,0
39.0,159.71,1.3,0,0.287,122.97,0,SAFE,0
39.5,158.25,1.46,0,0.293,108.28,0,SAFE,0
