t,distance,future_distance,risk,ttc,prediction_error,alert
0.0,301.98,0,0.26,18.87,0,SAFE
0.5,285.99,0,0.261,17.87,0,SAFE
1.0,270.01,0,0.261,16.88,0,SAFE
1.5,254.03,0,0.262,15.88,0,SAFE
2.0,238.05,0,0.289,14.88,0,SAFE
2.5,222.07,0,0.325,13.88,0,SAFE
3.0,206.08,0,0.361,12.88,0,SAFE
3.5,190.1,0,0.397,11.88,0,SAFE
4.0,174.12,94.2,0.434,10.88,7.99,WARNING
4.5,158.14,78.22,0.47,9.88,7.99,WARNING
5.0,142.16,62.25,0.507,8.88,7.99,WARNING
5.5,126.17,46.27,0.545,7.89,7.99,WARNING
6.0,110.19,30.28,0.583,6.89,7.99,WARNING
6.5,94.21,14.3,0.622,5.89,8.0,WARNING
7.0,78.23,1.69,0.662,4.89,7.99,WARNING
7.5,62.25,1.69,0.704,3.89,7.99,DANGER
8.0,46.26,1.69,0.75,2.89,7.99,DANGER
8.5,30.28,1.69,0.803,1.89,7.99,DANGER
9.0,14.3,1.69,0.874,0.89,7.99,DANGER
9.5,1.68,17.67,0.795,,8.0,DANGER
10.0,17.66,33.64,0.751,,7.99,DANGER
10.5,33.65,49.62,0.706,,7.99,DANGER
11.0,49.63,65.61,0.661,,7.99,WARNING
11.5,65.61,81.59,0.616,,7.99,WARNING
12.0,81.59,97.58,0.572,,7.99,WARNING
12.5,97.57,113.57,0.527,,8.0,WARNING
13.0,113.56,129.53,0.482,,7.99,WARNING
13.5,129.54,145.52,0.437,,7.99,WARNING
14.0,145.52,0,0.393,,0,SAFE
14.5,161.5,0,0.348,,0,SAFE
15.0,177.48,0,0.303,,0,SAFE
15.5,193.47,0,0.258,,0,SAFE
16.0,209.45,0,0.214,,0,SAFE
16.5,225.43,0,0.169,,0,SAFE
17.0,241.41,0,0.124,,0,SAFE
17.5,257.39,0,0.1,,0,SAFE
18.0,273.38,0,0.1,,0,SAFE
18.5,289.36,0,0.1,,0,SAFE
19.0,305.34,0,0.1,,0,SAFE
19.5,321.32,0,0.1,,0,SAFE
20.0,337.31,0,0.1,,0,SAFE
20.5,353.29,0,0.1,,0,SAFE
21.0,369.27,0,0.1,,0,SAFE
21.5,385.25,0,0.1,,0,SAFE
22.0,401.23,0,0.1,,0,SAFE
22.5,417.22,0,0.1,,0,SAFE
23.0,433.2,0,0.1,,0,SAFE
23.5,449.18,0,0.1,,0,SAFE
24.0,465.16,0,0.1,,0,SAFE
24.5,481.14,0,0.1,,0,SAFE
25.0,497.13,0,0.1,,0,SAFE
25.5,513.11,0,0.1,,0,SAFE
26.0,529.09,0,0.1,,0,SAFE
26.5,545.07,0,0.1,,0,SAFE
27.0,561.05,0,0.1,,0,SAFE
27.5,577.04,0,0.1,,0,SAFE
28.0,593.02,0,0.1,,0,SAFE
28.5,609.0,0,0.1,,0,SAFE
29.0,624.98,0,0.1,,0,SAFE
29.5,640.96,0,0.1,,0,SAFE
