t,distance,closing_speed,future_distance,risk,ttc,prediction_error,alert,in_danger_zone
0.0,45.04,5.98,42.06,0.393,7.53,0,SAFE,1
0.5,44.85,5.98,41.86,0.394,7.5,5.99,SAFE,1
1.0,44.65,5.98,41.66,0.394,7.46,5.99,SAFE,1
1.5,44.45,5.98,41.46,0.394,7.43,6.0,SAFE,1
2.0,44.25,5.98,41.27,0.395,7.4,5.99,SAFE,1
2.5,44.05,5.98,41.06,0.395,7.36,5.99,SAFE,1
3.0,43.85,5.98,40.86,0.396,7.33,6.0,SAFE,1
3.5,43.65,5.98,40.67,0.396,7.3,5.99,SAFE,1
4.0,43.45,5.98,40.46,0.397,7.26,5.99,SAFE,1
4.5,43.25,5.98,38.71,0.397,7.23,18.26,SAFE,1
5.0,43.05,5.98,38.61,0.397,7.2,17.85,SAFE,1
5.5,42.85,5.98,38.19,0.398,7.16,17.87,SAFE,1
6.0,42.65,5.98,38.08,0.398,7.13,17.65,SAFE,1
6.5,42.46,5.98,38.03,0.398,7.1,17.4,SAFE,1
7.0,42.26,5.98,37.71,0.399,7.06,17.29,SAFE,1
7.5,42.06,5.98,37.78,0.399,7.03,17.18,SAFE,1
8.0,41.06,5.98,37.33,0.435,6.87,16.89,WARNING,1
8.5,39.27,5.98,36.06,0.474,6.57,16.44,WARNING,1
9.0,36.68,5.98,31.91,0.516,6.14,16.44,WARNING,1
9.5,33.3,5.97,26.18,0.563,5.58,16.3,WARNING,1
10.0,29.13,5.96,17.65,0.615,4.89,16.65,DANGER,1
10.5,24.18,5.94,8.62,0.675,4.07,16.38,DANGER,1
11.0,18.46,5.9,3.25,0.743,3.13,16.06,DANGER,1
11.5,12.61,5.79,1.32,0.788,2.18,16.0,DANGER,1
12.0,7.01,5.28,9.78,0.826,1.33,15.72,DANGER,1
12.5,3.34,0.31,20.63,0.708,10.84,15.74,DANGER,1
13.0,6.71,0.0,30.52,0.39,,15.28,SAFE,0
13.5,12.28,0.0,40.52,0.39,,15.3,SAFE,0
14.0,18.12,0.0,49.58,0.39,,15.17,SAFE,0
14.5,24.03,0.0,56.8,0.39,,14.86,SAFE,0
15.0,29.98,0.0,63.5,0.39,,14.51,SAFE,0
15.5,35.94,0.0,69.88,0.39,,14.48,SAFE,0
16.0,41.91,0.0,75.6,0.39,,14.38,SAFE,0
16.5,47.89,0.0,81.61,0.39,,14.44,SAFE,0
17.0,53.87,0.0,87.28,0.39,,14.27,SAFE,0
17.5,59.85,0.0,93.22,0.39,,14.29,SAFE,0
18.0,65.84,0.0,99.15,0.39,,14.32,SAFE,0
18.5,71.83,0.0,104.84,0.39,,14.06,SAFE,0
19.0,77.81,0.0,110.69,0.39,,14.0,SAFE,0
19.5,83.8,0.0,116.47,0.387,,13.81,SAFE,0
20.0,89.79,0.0,122.31,0.365,,13.71,SAFE,0
20.5,95.78,0.0,128.12,0.342,,13.6,SAFE,0
21.0,101.77,0.0,0,0.32,,0,SAFE,0
21.5,107.76,0.0,0,0.298,,0,SAFE,0
22.0,113.75,0.0,0,0.275,,0,SAFE,0
22.5,119.74,0.0,0,0.253,,0,SAFE,0
23.0,125.73,0.0,0,0.231,,0,SAFE,0
23.5,131.72,0.0,0,0.208,,0,SAFE,0
24.0,137.71,0.0,0,0.186,,0,SAFE,0
24.5,143.71,0.0,0,0.164,,0,SAFE,0
25.0,149.7,0.0,0,0.141,,0,SAFE,0
25.5,155.69,0.0,0,0.166,,0,SAFE,0
26.0,161.68,0.0,0,0.155,,0,SAFE,0
26.5,167.67,0.0,0,0.145,,0,SAFE,0
27.0,173.67,0.0,0,0.134,,0,SAFE,0
27.5,179.66,0.0,0,0.124,,0,SAFE,0
28.0,185.65,0.0,0,0.113,,0,SAFE,0
28.5,191.64,0.0,0,0.103,,0,SAFE,0
29.0,197.63,0.0,0,0.092,,0,SAFE,0
29.5,203.63,0.0,0,0.082,,0,SAFE,0
